"channel_display","n","lambda_at_075","lambda_at_025","transition_width","scaled_width","maximum_upward_step","approximately_decreasing"
"Gaussian",25,0.693046357615894,1.50660377358491,0.813557415969011,4.06778707984506,0,TRUE
"Gaussian",50,0.765747330960854,1.34386973180077,0.578122400839912,4.08794269989749,0,TRUE
"Gaussian",100,0.826867816091954,1.21781002638522,0.39094221029327,3.9094221029327,0,TRUE
"Gaussian",200,0.873007438894793,1.15590219224283,0.28289475334804,4.0007359690899,0,TRUE
"Gaussian",500,0.916264204545455,1.09457364341085,0.178309438865398,3.98712026332874,0,TRUE
"Laplace",25,0.738319672131148,1.40857142857143,0.670251756440281,3.35125878220141,0,TRUE
"Laplace",50,0.803359375,1.26666666666667,0.463307291666667,3.27607727710674,0,TRUE
"Laplace",100,0.854817861339601,1.16916961130742,0.31435174996782,3.1435174996782,0,TRUE
"Laplace",200,0.896526418786693,1.12388337468983,0.227356955903134,3.21531290538073,0,TRUE
"Laplace",500,0.93229833546735,1.07771303714494,0.145414701677589,3.25157157878941,0,TRUE
"Logistic",25,0.775484496124031,1.32706896551724,0.55158446939321,2.75792234696605,0,TRUE
"Logistic",50,0.836158192090396,1.21375598086124,0.377597788770849,2.67001957000913,0,TRUE
"Logistic",100,0.883019853709509,1.14331983805668,0.260299984347171,2.60299984347171,0,TRUE
"Logistic",200,0.912410586552218,1.09778172138421,0.185371134831989,2.6215437295189,0,TRUE
"Logistic",500,0.943337264150943,1.06348122866894,0.120143964517999,2.68650071748568,0,TRUE
