"sigma","n","finite_n_rate","I_hat","acceptance","acceptance_smoothed","accept_count"
0.2,20,0.0592455910801654,0.00627862496115036,0.305766666666667,0.305773140895303,9173
0.2,40,0.0362921081843922,0.00627862496115036,0.234166666666667,0.234175527482417,7025
0.2,60,0.0279164670410627,0.00627862496115036,0.1873,0.1873104229859,5619
0.2,80,0.0230899976159698,0.00627862496115036,0.157666666666667,0.15767807739742,4730
0.2,120,0.018743630410056,0.00627862496115036,0.105466666666667,0.105479817339422,3164
0.2,160,0.0158897328339734,0.00627862496115036,0.0786666666666667,0.0786807106429786,2360
0.3,20,0.0611339701184674,0.00706155712527518,0.294433333333333,0.294440185327156,8833
0.3,40,0.0369848431754307,0.00706155712527518,0.227766666666667,0.22777574080864,6833
0.3,60,0.028994580795729,0.00706155712527518,0.175566666666667,0.175577480750642,5267
0.3,80,0.0242986947526975,0.00706155712527518,0.143133333333333,0.143145228492384,4294
0.3,120,0.0199820439642905,0.00706155712527518,0.0909,0.0909136362121263,2727
0.3,160,0.0169302113454419,0.00706155712527518,0.0666,0.0666144461851272,1998
0.4,20,0.062797145666756,0.00820304149884615,0.2848,0.28480717309423,8544
0.4,40,0.0395443754477641,0.00820304149884615,0.2056,0.205609813006233,6168
0.4,60,0.0307725764999755,0.00820304149884615,0.1578,0.157811406286457,4734
0.4,80,0.0264880956197181,0.00820304149884615,0.120133333333333,0.120145995133496,3604
0.4,120,0.0215988105409322,0.00820304149884615,0.0748666666666667,0.0748808373054232,2246
0.4,160,0.0187423132209505,0.00820304149884615,0.0498333333333333,0.0498483383887204,1495
0.5,20,0.0660675884217665,0.00972502864720032,0.266766666666667,0.266774440851972,8003
0.5,40,0.0422738121769943,0.00972502864720032,0.184333333333333,0.184343855204827,5530
0.5,60,0.032691901280401,0.00972502864720032,0.140633333333333,0.140645311822939,4219
0.5,80,0.0283426521254652,0.00972502864720032,0.103566666666667,0.103579880670644,3107
0.5,120,0.023223801792045,0.00972502864720032,0.0616,0.0616146128462385,1848
0.5,160,0.0205354523362855,0.00972502864720032,0.0374,0.0374154194860171,1122
0.6,20,0.0698492137043105,0.0116271355406175,0.247333333333333,0.247341755274824,7420
0.6,40,0.0451802763683556,0.0116271355406175,0.1641,0.164111196293457,4923
0.6,60,0.0356962650109168,0.0116271355406175,0.117433333333333,0.117446085130496,3523
0.6,80,0.0311193824390434,0.0116271355406175,0.0829333333333333,0.0829472350921636,2488
0.6,120,0.0256505070754884,0.0116271355406175,0.0460333333333333,0.046048465051165,1381
0.6,160,0.0234203022744043,0.0116271355406175,0.0235666666666667,0.0235825472484251,707
0.8,20,0.079226737996093,0.016533747462574,0.205033333333333,0.205043165227826,6151
0.8,40,0.0526386275547703,0.016533747462574,0.121766666666667,0.121779274024199,3653
0.8,60,0.0425144355446993,0.016533747462574,0.078,0.0780140661977934,2340
0.8,80,0.0372117981511399,0.016533747462574,0.0509333333333333,0.0509483017232759,1528
0.8,120,0.0317747119630142,0.016533747462574,0.0220666666666667,0.0220825972467584,662
0.8,160,0.0293377170779531,0.016533747462574,0.00913333333333333,0.00914969501016633,274
1,20,0.0893153935887638,0.022866727903461,0.167566666666667,0.16757774740842,5027
1,40,0.0605397416766257,0.022866727903461,0.0887666666666667,0.0887803739875337,2663
1,60,0.0502718084593852,0.022866727903461,0.0489666666666667,0.0489817006099797,1469
1,80,0.0450341886331334,0.022866727903461,0.0272333333333333,0.0272490916969434,817
1,120,0.0389963994504562,0.022866727903461,0.00926666666666667,0.00928302389920336,278
1,160,0.0359366234120962,0.022866727903461,0.00316666666666667,0.00318322722575914,95
1.2,20,0.100243113387429,0.0306055424882252,0.134666666666667,0.134678844038532,4040
1.2,40,0.0712195853995784,0.0306055424882252,0.0579,0.0579147361754608,1737
1.2,60,0.0608388884154042,0.0306055424882252,0.0259666666666667,0.0259824672510916,779
1.2,80,0.0542694753017793,0.0306055424882252,0.013,0.0130162327922403,390
1.2,120,0.0484562280678439,0.0306055424882252,0.00296666666666667,0.00298323389220359,89
1.2,160,0.0452558316143029,0.0306055424882252,7e-04,0.000716642778574048,21
