"sigma","rho","target_relative_fit_error","transfer_l2_norm","roughness_l2_norm","amplification_mean","amplification_sd"
0.1,1e-05,9.67863727647267e-07,0.686076700976225,0.000801828127870115,940.790085187324,456.915977510885
0.1,1e-04,9.26399358112496e-07,0.76899559310034,0.000513020851058598,708.114014861073,327.660375844619
0.1,0.001,8.36882328775554e-08,0.94303619514092,0.000387999509558447,401.242583911905,228.758918333324
0.2,1e-05,1.40289977593303e-06,0.702988444654071,0.00112018098090565,722.923852152847,406.864897257293
0.2,1e-04,1.32715699159764e-06,0.807933723775119,0.000836273013164168,572.766620001624,276.114842410481
0.2,0.001,4.76655790131268e-08,1.10573485877662,0.000717532375853455,337.409837064735,182.53060389074
0.4,1e-05,2.69273891053149e-06,0.897866929801358,0.00200131943194603,452.246148798574,256.308791793631
0.4,1e-04,2.93448624562018e-06,1.1423086904386,0.00151312717280592,259.785387654973,145.28214858534
0.4,0.001,7.38438144648109e-07,1.91138293807956,0.00125957429390989,153.503204215787,107.908177266067
0.7,1e-05,1.07114219649327e-05,1.28409177863415,0.00363367984111116,142.770758892795,85.3150604684159
0.7,1e-04,6.718580238003e-06,1.87644056890107,0.00273896344544885,107.797758841781,74.6155384332105
0.7,0.001,1.14846850334243e-05,3.94798257735263,0.00201518219377592,47.5811895091934,28.2250737427526
1,1e-05,8.98935433909954e-06,1.72680662855388,0.00555809139955653,98.4656883135497,63.974300773416
1,1e-04,2.98555994912569e-05,2.68012515625636,0.00405395594256997,42.2694441928744,24.1049509122688
1,0.001,0.000103282066623727,5.60845535354512,0.00282399183569487,26.5687816630942,18.2136795381367
