"channel","epsilon","delta","lambda","efficiency","efficiency_se","efficiency_lower","efficiency_upper","revenue","revenue_se","revenue_lower","revenue_upper","build_probability","mean_aggregate_xhat","mean_aggregate_Jhat","signal_outside_grid_rate"
"Gaussian",1,1e-05,0,1,0,1,1,-49.9966776228988,0.00629056768078054,-50.0090071355531,-49.9843481102444,1,50.0016611885506,-49.9966776228988,0
"Laplace",1,1e-05,0,1,0,1,1,-49.9838475467878,0.0206374651586012,-50.0242969784986,-49.9433981150769,1,50.0080762266062,-49.9838475467878,0
"Logistic",1,1e-05,0,1,0,1,1,-49.9900202251681,0.0134792321174142,-50.0164395201182,-49.963600930218,1,50.004989887416,-49.9900202251681,0
"Gaussian",1,1e-05,0.3,1,0,1,1,-49.9966776228988,0.00629056768078054,-50.0090071355531,-49.9843481102444,1,50.0016611885506,-49.9966776228988,0
"Laplace",1,1e-05,0.3,1,0,1,1,-49.9838475467878,0.0206374651586012,-50.0242969784986,-49.9433981150769,1,50.0080762266062,-49.9838475467878,0
"Logistic",1,1e-05,0.3,1,0,1,1,-49.9900202251681,0.0134792321174142,-50.0164395201182,-49.963600930218,1,50.004989887416,-49.9900202251681,0
"Gaussian",1,1e-05,0.6,1,0,1,1,-49.9966776228988,0.00629056768078054,-50.0090071355531,-49.9843481102444,1,50.0016611885506,-49.9966776228988,0
"Laplace",1,1e-05,0.6,1,0,1,1,-49.9838475467878,0.0206374651586012,-50.0242969784986,-49.9433981150769,1,50.0080762266062,-49.9838475467878,0
"Logistic",1,1e-05,0.6,1,0,1,1,-49.9900202251681,0.0134792321174142,-50.0164395201182,-49.963600930218,1,50.004989887416,-49.9900202251681,0
"Gaussian",1,1e-05,1,0.50653312852164,0.0035584912014142,0.499558485766869,0.513507771276412,-24.7699679152019,0.174283638966941,-25.1115638475771,-24.4283719828267,0.50255,50.0016611885506,-49.9966776228988,0
"Laplace",1,1e-05,1,0.513798902495186,0.00355564777867979,0.506829832848974,0.520767972141399,-23.9551524829554,0.168764444226781,-24.2859307936399,-23.624374172271,0.50255,50.0080762266062,-49.9838475467878,0
"Logistic",1,1e-05,1,0.511453388984351,0.00355699785549429,0.504481673187582,0.51842510478112,-24.4197262357239,0.17148250241732,-24.7558319404618,-24.0836205309859,0.503750000000001,50.004989887416,-49.9900202251681,0
"Gaussian",1,1e-05,1.3,0,0,0,0,0,0,0,0,0,50.0016611885506,-49.9966776228988,0
"Laplace",1,1e-05,1.3,0.00215155743531249,0.000341569332116237,0.00148208154436467,0.00282103332626032,-0.0814418635004224,0.0128671366656099,-0.106661451365018,-0.0562222756358269,0.00200000000000015,50.0080762266062,-49.9838475467878,0
"Logistic",1,1e-05,1.3,0,0,0,0,0,0,0,0,0,50.004989887416,-49.9900202251681,0
"Gaussian",1,1e-05,1.6,0,0,0,0,0,0,0,0,0,50.0016611885506,-49.9966776228988,0
"Laplace",1,1e-05,1.6,0,0,0,0,0,0,0,0,0,50.0080762266062,-49.9838475467878,0
"Logistic",1,1e-05,1.6,0,0,0,0,0,0,0,0,0,50.004989887416,-49.9900202251681,0
"Gaussian",1,1e-05,2,0,0,0,0,0,0,0,0,0,50.0016611885506,-49.9966776228988,0
"Laplace",1,1e-05,2,0,0,0,0,0,0,0,0,0,50.0080762266062,-49.9838475467878,0
"Logistic",1,1e-05,2,0,0,0,0,0,0,0,0,0,50.004989887416,-49.9900202251681,0
