"channel","epsilon","scale","Rmax","lambda_at_Rmax","welfare_at_Rmax","efficiency_at_Rmax","build_probability_at_Rmax"
"Laplace",1,2,1.08821840422382,90830525.1890901,51.1304750885116,0.511073171017004,0.507650000000046
"Logistic",1,2,0.706592213350725,3542929.85708306,51.1553566311379,0.511321873749921,0.509150000000046
"Laplace",2,1,1.93938144314378,78306.8696563443,51.5383602266183,0.515150175006934,0.509000000000046
"Logistic",2,1,1.36331875485941,202031.786975278,51.1511622646626,0.511279949082268,0.507150000000046
"Laplace",4,0.5,3.1703368604085,28934.7433300982,51.7756573903796,0.517522071879531,0.507550000000046
"Logistic",4,0.5,2.4912089291953,388150.564366396,51.4730128613239,0.51449699732492,0.506550000000046
"Laplace",6,0.333333333333333,3.96000956322655,37572.0669590943,52.4915571777672,0.524677827304006,0.512350000000046
"Logistic",6,0.333333333333333,3.33680798379381,64764.2636668413,51.7602686961302,0.517368254635427,0.506900000000046
"Laplace",8,0.25,4.49376346194774,48136.4263817829,52.4169976583604,0.523932569804505,0.510250000000046
"Logistic",8,0.25,3.94939562142868,524771.174548016,52.4167078899266,0.523929673432584,0.511650000000046
"Laplace",10,0.2,4.8696130366783,65635.6333635064,52.6567495046319,0.526329002384469,0.512050000000046
"Logistic",10,0.2,4.39566187930273,557050.337370241,52.5378533380851,0.525140579222869,0.511800000000046
