"axis","epsilon","delta","mu","privacy_x","gap","gap_se","ci_lower","ci_upper"
"axis1",0.5,1e-05,0.142210558671649,0.5,0.0459460975812954,0.00993622654597728,0.0264710935511799,0.0654211016114109
"axis2",0.5,1e-05,0.142210558671649,0.5,0.0456005617070964,0.00993073161191491,0.0261363277477432,0.0650647956664496
"axis3",0.5,1e-05,0.142210558671649,0.142210558671649,0.000770585558424114,0.0101886968312218,-0.0191992602307706,0.0207404313476188
"axis1",0.75,1e-05,0.206161152850488,0.75,0.0644510572769771,0.0091339312564552,0.0465485520143249,0.0823535625396293
"axis2",0.75,1e-05,0.206161152850488,0.75,0.0632751712201389,0.00909660111759556,0.0454458330296516,0.0811045094106261
"axis3",0.75,1e-05,0.206161152850488,0.206161152850488,-0.00123262994117969,0.0100907735569437,-0.0210105461127894,0.01854528623043
"axis1",1,1e-05,0.268051123211295,1,0.085457732723117,0.00883994690320658,0.0681314367928321,0.102784028653402
"axis2",1,1e-05,0.268051123211295,1,0.0831743569983083,0.008816243311799,0.0658945201071823,0.100454193889434
"axis3",1,1e-05,0.268051123211295,0.268051123211295,-0.00157685769748166,0.00993298139228821,-0.0210455012263665,0.0178917858314032
"axis1",1.5,1e-05,0.387212130380195,1.5,0.108019669996586,0.00806027186023479,0.0922215371505256,0.123817802842646
"axis2",1.5,1e-05,0.387212130380195,1.5,0.107662864504386,0.00805335567343196,0.0918782873844596,0.123447441624313
"axis3",1.5,1e-05,0.387212130380195,0.387212130380195,-0.0153049800884693,0.00985431711382416,-0.0346194416315647,0.00400948145462606
"axis1",2,1e-05,0.501551689168231,2,0.128891331240365,0.00795311434577798,0.113303227122641,0.14447943535809
"axis2",2,1e-05,0.501551689168231,2,0.128318685592853,0.00795470856873212,0.112727456798138,0.143909914387568
"axis3",2,1e-05,0.501551689168231,0.501551689168231,-0.0260266020693453,0.00977472557924071,-0.0451850642046571,-0.0068681399340335
"axis1",3,1e-05,0.719117435223629,3,0.130336123136389,0.00712944087341287,0.1163624190245,0.144309827248278
"axis2",3,1e-05,0.719117435223629,3,0.12838786410385,0.00707068157429893,0.114529328218225,0.142246399989476
"axis3",3,1e-05,0.719117435223629,0.719117435223629,-0.0306503118311869,0.00911925885106757,-0.0485240591792793,-0.0127765644830944
