"axis","channel","epsilon","delta","mu","privacy_x","scale","noise_sd","pure_epsilon","mu_index","efficiency","efficiency_se","build_probability","mean_aggregate_posterior","overflow_rate"
"axis1","Laplace",0.5,1e-05,0.142210558671649,0.5,4,5.65685424949238,0.5,0.561764323211019,0.119971743362143,0.0169919524083178,0.506899999999999,0.00898939485259766,0
"axis1","Logistic",0.5,1e-05,0.142210558671649,0.5,4,7.25519745693687,0.5,0.31297949948163,0.0740256457808501,0.0172052783917056,0.5031,0.00229382549651631,0
"axis2","Gaussian",0.5,1e-05,0.142210558671649,0.5,14.0636533509289,14.0636533509289,Inf,0.142210558671649,0.0296885452587425,0.0177019829464546,0.5033,0.000949025661688715,0
"axis2","Laplace",0.5,1e-05,0.142210558671649,0.5,3.99983920540674,5.65662685159783,0.500020100132156,0.561784731916418,0.119971743362143,0.0169919524083178,0.506899999999999,0.00898960300877786,0
"axis2","Logistic",0.5,1e-05,0.142210558671649,0.5,3.9683853513358,7.19785482728927,0.503983313849996,0.315467281953435,0.0743711816550484,0.0172052219606867,0.5032,0.00230675918401249,0
"axis3","Gaussian",0.5,1e-05,0.142210558671649,0.142210558671649,14.0636533509289,14.0636533509289,Inf,0.142210558671649,0.0296885452587425,0.0177019829464546,0.5033,0.000949025661688715,0
"axis3","Laplace",0.5,1e-05,0.142210558671649,0.142210558671649,17.1361669593002,24.2341997209321,0.11671221485821,0.142210558671649,0.0272333298891698,0.0179710122420788,0.505,0.00279312722722271,0
"axis3","Logistic",0.5,1e-05,0.142210558671649,0.142210558671649,8.81105906469098,15.9814933297666,0.226987469419506,0.142210558671649,0.0264627443307457,0.0178116934186268,0.5049,0.00120157227759868,0
"axis1","Laplace",0.75,1e-05,0.206161152850488,0.75,2.66666666666667,3.77123616632825,0.75,0.805072872255262,0.188934368719594,0.0161474858793239,0.5053,0.00978211276485618,0
"axis1","Logistic",0.75,1e-05,0.206161152850488,0.75,2.66666666666667,4.83679830462458,0.75,0.468819731858767,0.124483311442616,0.0165872636792115,0.5027,0.00293102114038508,0
"axis2","Gaussian",0.75,1e-05,0.206161152850488,0.75,9.70114870016485,9.70114870016485,Inf,0.206161152850488,0.0513691403281413,0.0174966599109629,0.5031,0.00129178941910587,0
"axis2","Laplace",0.75,1e-05,0.206161152850488,0.75,2.6665952014454,3.7711350992431,0.750020100132155,0.805091647371678,0.188934368719594,0.0161474858793239,0.5053,0.00978207466908839,0
"axis2","Logistic",0.75,1e-05,0.206161152850488,0.75,2.65037981346277,4.80725722063798,0.754608826191957,0.471686236980572,0.125659197499454,0.0165696048099359,0.5027,0.00293940909880185,0
"axis3","Gaussian",0.75,1e-05,0.206161152850488,0.206161152850488,9.70114870016485,9.70114870016485,Inf,0.206161152850488,0.0513691403281413,0.0174966599109629,0.5031,0.00129178941910587,0
"axis3","Laplace",0.75,1e-05,0.206161152850488,0.206161152850488,11.6729845559017,16.5080930723278,0.171335787383427,0.206161152850488,0.0445932274385721,0.0177868070856514,0.5059,0.00379463306588028,0
"axis3","Logistic",0.75,1e-05,0.206161152850488,0.206161152850488,6.07635315732173,11.0212854936127,0.329144792644267,0.206161152850488,0.0458258573797556,0.0175417929056808,0.5037,0.00165709331340824,0
"axis1","Laplace",1,1e-05,0.268051123211295,1,2,2.82842712474619,1,1.03006399762443,0.251624408447607,0.0153210416385996,0.5035,0.00813654427063997,0
"axis1","Logistic",1,1e-05,0.268051123211295,1,2,3.62759872846844,1,0.623892592098508,0.166166675724487,0.0161596542445119,0.5034,0.00320654317448662,0
"axis2","Gaussian",1,1e-05,0.268051123211295,1,7.46126326963187,7.46126326963187,Inf,0.268051123211295,0.0713384730176485,0.0172879744313326,0.5029,0.00157358133418674,0
"axis2","Laplace",1,1e-05,0.268051123211295,1,1.99995980054371,2.8283702741299,1.00002010013215,1.03008144420972,0.251624408447607,0.0153210416385996,0.5035,0.00813629632263469,0
"axis2","Logistic",1,1e-05,0.268051123211295,1,1.98996631357331,3.60939963440678,1.00504213883333,0.627010631865378,0.168450051449297,0.0161138302241303,0.5028,0.00320833612224018,0
"axis3","Gaussian",1,1e-05,0.268051123211295,0.268051123211295,7.46126326963187,7.46126326963187,Inf,0.268051123211295,0.0713384730176485,0.0172879744313326,0.5029,0.00157358133418674,0
"axis3","Laplace",1,1e-05,0.268051123211295,0.268051123211295,8.86991804051616,12.5439583900357,0.225481226643174,0.268051123211295,0.0630836851522116,0.0175924066624981,0.5075,0.00476481492910488,0
"axis3","Logistic",1,1e-05,0.268051123211295,0.268051123211295,4.67183175671559,8.47376547013998,0.428097607993924,0.268051123211295,0.0646605428496916,0.0173341726277427,0.504,0.00204530703962148,0
"axis1","Laplace",1.5,1e-05,0.387212130380195,1.5,1.33333333333333,1.88561808316413,1.5,1.43726769472897,0.351475502133342,0.0138716306323185,0.4975,-0.00251661784349663,0
"axis1","Logistic",1.5,1e-05,0.387212130380195,1.5,1.33333333333333,2.41839915231229,1.5,0.930806794904657,0.243455832136754,0.0153300707141529,0.5045,0.0026676800800167,0
"axis2","Gaussian",1.5,1e-05,0.387212130380195,1.5,5.16512744070349,5.16512744070349,Inf,0.387212130380195,0.105972669067039,0.016901548468719,0.5022,0.0019776950854358,0
"axis2","Laplace",1.5,1e-05,0.387212130380195,1.5,1.33331546678861,1.88559281605427,1.50002010013215,1.4372831003553,0.351475502133342,0.0138716306323185,0.4975,-0.00251712362522297,0
"axis2","Logistic",1.5,1e-05,0.387212130380195,1.5,1.32838578827017,2.40942529822221,1.50558671860259,0.93420682336207,0.243812637628954,0.0153291727035017,0.5046,0.00265366291526908,0
"axis3","Gaussian",1.5,1e-05,0.387212130380195,0.387212130380195,5.16512744070349,5.16512744070349,Inf,0.387212130380195,0.105972669067039,0.016901548468719,0.5022,0.0019776950854358,0
"axis3","Laplace",1.5,1e-05,0.387212130380195,0.387212130380195,6.00011159064085,8.48543918723629,0.333327133968585,0.387212130380194,0.0837317911723054,0.0174071192274646,0.5079,0.00668959201975369,0
"axis3","Logistic",1.5,1e-05,0.387212130380195,0.387212130380195,3.23124814410087,5.86083582945315,0.618955868075716,0.387212130380194,0.0990367712607758,0.0169148221373271,0.5037,0.00264147703619441,0
"axis1","Laplace",2,1e-05,0.501551689168231,2,1,1.4142135623731,2,1.80090519327558,0.440007074940011,0.012626690222349,0.4956,-0.0119837352839429,0
"axis1","Logistic",2,1e-05,0.501551689168231,2,1,1.81379936423422,2,1.2320353853449,0.311115743699644,0.0145667999415901,0.5048,0.000766182936610621,0
"axis2","Gaussian",2,1e-05,0.501551689168231,2,3.98762489129841,3.98762489129841,Inf,0.501551689168231,0.139946529340566,0.0164264104155125,0.5012,0.00219477922455147,0
"axis2","Laplace",2,1e-05,0.501551689168231,2,0.999989950034929,1.41419934957619,2.00002010013215,1.80091909375438,0.440007074940011,0.012626690222349,0.4956,-0.011983995275559,0
"axis2","Logistic",2,1e-05,0.501551689168231,2,0.99706245695437,1.80847125052564,2.00589239525597,1.23554559741371,0.311688389347158,0.0145608499586583,0.5047,0.000736415285990642,0
"axis3","Gaussian",2,1e-05,0.501551689168231,0.501551689168231,3.98762489129841,3.98762489129841,Inf,0.501551689168231,0.139946529340566,0.0164264104155125,0.5012,0.00219477922455147,0
"axis3","Laplace",2,1e-05,0.501551689168231,0.501551689168231,4.53181051370947,6.40894789059292,0.441324718663693,0.501551689168231,0.110025031221258,0.0170922517976682,0.506899999999999,0.00827434171778449,0
"axis3","Logistic",2,1e-05,0.501551689168231,0.501551689168231,2.49173763875703,4.51951214501597,0.802652722699038,0.501551689168231,0.136051633290603,0.01646870437925,0.5027,0.00301942579975589,0
"axis1","Laplace",3,1e-05,0.719117435223629,3,0.666666666666667,0.942809041582063,3,2.43649380961287,0.581300442382533,0.0104500411401574,0.4976,-0.0238157470078424,0
"axis1","Logistic",3,1e-05,0.719117435223629,3,0.666666666666667,1.20919957615615,3,1.81232046773246,0.450964319246141,0.0125734688036134,0.5036,-0.00617443074327948,0
"axis2","Gaussian",3,1e-05,0.719117435223629,3,2.78118691334197,2.78118691334197,Inf,0.719117435223629,0.19199470735715,0.0157878136826801,0.5004,0.00215359305263475,0
"axis2","Laplace",3,1e-05,0.719117435223629,3,0.666662200000562,0.94280272476228,3.00002010013214,2.43650561527282,0.581300442382533,0.0104500411401574,0.4976,-0.0238159707195237,0
"axis2","Logistic",3,1e-05,0.719117435223629,3,0.66529713008009,1.20671551156612,3.00617560120729,1.81580066607274,0.452912578278679,0.0125353756564266,0.5035,-0.00622658304889281,0
"axis3","Gaussian",3,1e-05,0.719117435223629,0.719117435223629,2.78118691334197,2.78118691334197,Inf,0.719117435223629,0.19199470735715,0.0157878136826801,0.5004,0.00215359305263475,0
"axis3","Laplace",3,1e-05,0.719117435223629,0.719117435223629,3.0335429120197,4.29007752821903,0.659295107405757,0.719117435223628,0.161538922298198,0.0164658756655739,0.5061,0.00981639621303381,0
"axis3","Logistic",3,1e-05,0.719117435223629,0.719117435223629,1.73265101673665,3.1426813125967,1.15430053754673,0.719117435223629,0.192189234129384,0.0159098272490311,0.5036,0.00319400078840685,0
